,C,R33,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR,"AA,KK",WR,WR1,GS,GS1,SD
67,14,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
68,58,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
69,56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
70,10,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
71,91,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
72,0,60,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
73,58,42,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
74,50,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
75,73,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
76,57,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
77,10,47,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
78,50,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
79,86,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
80,13,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
81,16,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
82,7,49,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
83,8,61,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
84,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
85,68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
86,10,47,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
87,12,69,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
88,34,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
89,86,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
90,24,45,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
91,61,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
92,76,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
93,1,37,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
94,2,56,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
95,1,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
96,24,65,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
97,5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
98,2,58,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
99,3,57,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
100,20,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
101,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
102,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
103,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
104,20,28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
