,C,R50
547,26,62
548,1,87
549,20,59
550,0,56
551,3,89
552,63,9
553,6,70
554,5,68
555,73,0
556,21,63
557,7,86
558,79,22
559,3,79
560,0,70
561,5,68
562,44,45
563,1,1
564,0,93
565,30,44
566,2,88
567,85,1
568,13,74
569,19,73
570,44,56
571,59,14
572,65,15
573,6,88
574,2,89
575,20,61
576,21,78
577,93,2
578,33,60
579,7,73
580,2,10
581,28,3
582,6,94
583,0,92
584,13,81
585,23,60
586,53,40
587,5,18
588,36,57
589,1,37
590,18,13
591,18,80
592,15,84
593,25,66
594,4,81
595,18,0
596,52,29
597,18,82
598,45,6
599,16,22
600,5,94
601,0,85
602,41,54
603,3,82
604,38,61
605,6,86
606,88,11
607,18,72
608,28,72
609,62,38
610,0,99
611,57,42
612,15,64
613,18,82
614,8,90
615,0,94
616,81,14
617,0,95
618,59,28
619,19,59
620,3,79
621,5,92
622,31,64
623,57,42
624,14,85
625,12,79
626,82,18
627,9,87
628,0,96
629,25,53
630,5,64
631,15,74
632,4,82
633,11,66
634,3,92
635,45,43
636,30,37
637,11,88
638,16,81
639,37,48
640,33,55
641,71,15
642,13,82
643,4,59
644,4,88
645,54,13
646,0,64
647,0,77
648,0,77
649,47,31
650,25,54
651,16,54
652,12,56
653,52,40
654,22,47
655,62,36
656,11,88
657,1,76
658,6,94
659,33,56
660,40,37
661,19,42
662,1,2
663,26,12
664,38,57
665,39,40
666,3,80
667,7,90
668,23,47
669,1,97
670,1,99
671,10,89
672,37,45
673,0,91
674,25,61
675,0,74
676,4,73
677,24,52
678,44,26
679,4,96
680,5,62
681,12,59
682,4,85
683,0,94
684,25,55
685,35,56
686,30,63
687,1,69
688,4,74
689,2,78
690,84,11
691,54,27
692,16,59
693,62,31
694,90,2
695,61,1
696,27,28
697,0,72
698,3,96
699,43,39
700,51,29
701,8,1
702,22,77
703,73,22
704,31,61
705,30,26
706,63,0
707,22,78
708,11,79
709,6,81
710,53,47
711,60,24
712,30,39
713,71,3
714,3,71
715,81,10
716,37,37
717,13,59
718,26,63
719,19,63
720,48,43
721,2,78
722,49,35
723,2,82
724,73,7
725,0,99
726,18,62
727,15,62
728,47,18
729,32,44
730,3,0
731,0,84
732,8,76
733,3,28
734,71,7
735,1,87
736,4,70
737,42,55
738,65,15
739,44,27
740,13,12
741,46,30
742,77,1
743,6,77
744,0,89
745,13,65
746,47,53
747,98,0
748,61,40
749,9,1
750,62,34
751,46,0
752,0,81
753,2,98
754,14,86
755,9,90
756,0,98
757,55,42
758,12,79
759,9,67
760,4,61
761,8,65
762,0,73
763,9,81
764,7,63
765,16,61
766,59,27
767,0,67
768,0,100
769,28,38
770,1,2
771,40,47
772,8,83
773,66,23
774,10,70
775,14,59
776,1,78
777,59,22
778,24,66
779,15,11
780,40,34
781,23,77
782,3,92
783,49,45
784,47,49
785,4,15
786,0,100
787,66,7
788,23,38
789,24,61
790,78,6
791,8,78
792,13,85
793,32,62
794,6,88
795,9,77
796,1,10
797,8,24
798,35,1
799,18,71
800,0,88
801,7,91
802,16,9
803,27,46
804,72,9
805,51,27
806,96,4
807,12,63
808,68,26
809,49,21
810,10,77
811,43,45
812,23,49
813,86,0
814,7,70
815,4,79
816,18,47
817,46,31
818,3,78
819,21,55
820,30,37
821,51,30
822,12,0
823,51,44
824,88,6
825,56,14
826,8,81
827,17,64
828,2,79
829,46,19
830,0,1
831,34,50
832,59,9
833,55,37
834,7,70
835,60,33
836,1,74
837,9,68
838,38,38
839,0,1
840,61,5
841,48,30
842,45,33
843,99,0
844,35,29
845,20,52
846,72,0
847,9,62
848,33,42
849,0,88
850,26,60
851,93,8
852,43,21
853,66,23
854,18,66
855,40,43
856,77,14
857,25,51
858,4,72
859,10,18
860,17,20
861,2,94
862,25,75
863,37,59
864,15,82
865,6,87
866,8,91
867,5,77
868,96,2
869,0,100
870,3,62
871,32,45
872,28,67
873,39,35
874,15,70
875,54,26
876,0,99
877,11,77
878,75,17
879,27,48
880,5,78
881,17,65
882,1,87
883,25,9
884,8,86
885,0,89
886,0,99
887,7,84
888,0,100
889,0,100
890,29,40
891,6,79
892,10,85
893,0,99
894,50,48
895,11,58
896,45,53
897,30,49
898,3,76
899,38,5
900,6,68
901,64,26
902,0,94
903,58,31
904,8,89
905,22,76
906,4,71
907,21,62
908,0,85
909,11,68
910,3,86
911,19,59
912,28,62
913,7,75
914,1,90
915,12,71
916,2,80
917,0,72
918,0,84
919,0,91
920,0,91
921,6,52
922,6,84
923,24,67
924,0,86
925,0,2
926,5,72
927,17,22
928,54,18
929,40,48
930,30,53
931,12,75
932,12,87
933,3,75
934,0,81
935,0,87
936,26,62
937,50,30
938,61,27
939,1,80
940,7,85
941,14,71
942,3,98
943,0,85
944,1,88
945,13,72
946,40,49
947,34,49
948,3,83
949,18,48
950,22,75
951,58,28
952,0,3
953,1,87
954,20,65
955,2,0
956,1,91
957,0,98
958,16,84
959,65,34
960,21,62
961,6,79
962,8,16
963,2,0
964,10,83
965,36,56
966,23,77
967,48,47
968,33,51
969,29,43
970,2,93
971,12,69
972,39,47
973,14,71
974,41,34
975,1,87
976,1,91
977,0,92
978,16,60
979,30,47
980,36,46
981,2,87
982,17,63
983,6,70
984,60,27
985,47,41
986,0,90
987,29,66
988,46,26
989,10,62
990,3,80
991,0,96
992,26,61
993,69,5
994,92,0
995,48,20
996,50,47
997,13,65
998,9,1
999,55,18
1000,32,64
1001,0,94
1002,70,3
1003,63,15
1004,89,4
1005,10,74
1006,81,12
1007,40,36
1008,3,9
1009,13,75
1010,62,19
1011,41,2
1012,73,0
1013,0,100
1014,11,87
1015,65,4
1016,5,95
1017,94,4
1018,80,19
1019,12,50
1020,12,70
1021,2,92
1022,2,73
1023,53,24
1024,1,77
1025,0,3
1026,30,42
1027,32,58
1028,52,48
1029,0,86
1030,12,77
1031,32,40
1032,26,73
1033,21,51
1034,39,32
1035,3,76
1036,0,89
1037,10,64
1038,67,11
1039,34,61
1040,48,19
1041,2,2
1042,28,10
1043,0,88
1044,28,64
1045,2,80
1046,22,70
1047,20,0
1048,89,1
1049,63,29
1050,2,1
1051,14,21
1052,39,36
1053,10,74
1054,2,92
1055,2,23
1056,13,57
1057,47,47
1058,64,34
1059,8,69
1060,68,32
1061,68,12
1062,27,72
1063,53,38
1064,7,75
1065,14,77
1066,52,34
1067,4,7
1068,95,3
1069,18,29
1070,4,57
1071,67,11
1072,36,44
1073,1,71
1074,64,3
1075,50,27
1076,82,0
1077,15,54
1078,38,37
1079,8,58
1080,0,85
1081,69,16
1082,2,76
1083,7,71
1084,67,17
1085,24,59
1086,10,1
1087,60,32
1088,81,8
1089,22,60
1090,58,20
1091,68,17
1092,32,40
1093,4,69
1094,49,26
1095,10,61
1096,4,92
1097,23,52
1098,72,1
1099,43,45
1100,29,28
1101,70,0
1102,58,12
1103,38,44
1104,85,0
1105,30,51
1106,58,40
1107,64,24
1108,12,71
1109,70,3
1110,9,72
1111,75,2
1112,61,22
1113,85,6
1114,81,0
1115,84,4
1116,80,2
1117,60,4
1118,69,0
1119,79,1
1120,28,56
1121,98,0
1122,36,22
1123,41,41
1124,64,7
1125,18,63
1126,8,80
1127,79,0
1128,39,35
1129,20,57
1130,50,33
1131,46,37
1132,37,31
1133,56,21
1134,32,50
1135,74,4
1136,28,58
1137,45,26
1138,76,8
1139,5,3
1140,13,68
1141,55,32
1142,25,60
1143,26,39
1144,65,24
1145,24,45
1146,74,4
1147,71,14
1148,87,5
1149,81,0
1150,62,38
1151,78,8
1152,18,51
1153,71,16
1154,28,69
1155,23,45
1156,0,1
1157,1,68
1158,80,6
1159,71,9
1160,54,20
1161,74,2
1162,75,5
1163,70,10
1164,1,0
1165,47,30
1166,73,12
1167,84,0
1168,77,10
1169,59,14
1170,65,19
1171,66,7
1172,54,17
1173,70,11
1174,71,4
1175,67,2
1176,38,62
1177,0,100
1178,3,98
1179,44,54
1180,0,100
1181,72,28
1182,13,8
1183,2,19
1184,67,34
1185,2,19
1186,74,19
1187,26,74
1188,0,76
1189,0,81
1190,6,80
1191,73,27
1192,1,40
1193,1,66
1194,21,61
1195,17,71
1196,20,67
1197,81,19
1198,13,29
1199,15,64
1200,8,73
1201,0,79
1202,75,25
1203,78,22
1204,75,19
1205,24,59
1206,61,40
1207,12,88
1208,75,25
1209,79,21
1210,2,85
1211,21,67
1212,8,72
1213,8,68
1214,8,67
1215,0,78
1216,12,87
1217,10,81
1218,18,77
1219,0,72
1220,99,1
1221,18,81
1222,40,48
1223,19,60
1224,0,75
1225,53,47
1226,96,4
1227,24,51
1228,93,7
1229,86,14
1230,98,2
1231,89,10
1232,45,45
1233,99,1
1234,52,48
1235,13,88
1236,51,49
1237,0,100
1238,0,100
1239,47,53
1240,0,1
1241,16,58
1242,30,59
1243,0,95
1244,0,75
1245,21,37
1246,0,85
1247,30,69
1248,38,47
1249,0,90
1250,0,93
1251,90,9
1252,94,5
1253,0,84
1254,0,95
1255,0,94
1256,47,52
1257,48,52
1258,1,69
1259,69,6
1260,99,1
1261,79,21
1262,33,67
1263,96,4
1264,98,3
1265,33,57
1266,95,5
1267,100,0
1268,98,3
1269,58,42
1270,94,6
1271,85,16
1272,100,0
1273,87,14
1274,35,64
1275,17,83
1276,9,91
1277,42,58
1278,0,1
1279,0,73
1280,8,76
1281,0,96
1282,15,66
1283,28,41
1284,0,82
1285,64,35
1286,26,69
1287,0,95
1288,1,93
1289,43,57
1290,0,83
1291,36,48
1292,0,67
1293,0,99
1294,93,8
1295,71,25
1296,10,58
1297,3,72
1298,57,43
1299,46,55
1300,61,39
1301,69,31
1302,62,38
1303,65,35
1304,90,0
1305,29,68
1306,6,94
1307,6,94
1308,33,67
1309,53,47
1310,82,17
1311,56,44
1312,73,27
1313,89,11
1314,93,8
1315,83,17
1316,99,1
1317,65,13
1318,71,28
1319,23,52
1320,79,10
1321,94,1
1322,2,97
1323,14,63
1324,54,45
1325,84,16
1326,45,37
1327,4,94
1328,89,10
1329,2,89
1330,80,8
1331,29,70
1332,0,94
1333,36,46
1334,41,60
1335,2,0
1336,0,86
1337,83,5
1338,51,40
1339,68,25
1340,18,62
1341,28,72
1342,45,36
1343,12,87
1344,43,37
1345,61,40
1346,77,0
1347,11,72
1348,43,56
1349,70,30
1350,98,1
1351,81,0
1352,12,78
1353,5,68
1354,16,70
1355,70,11
1356,4,93
1357,62,36
1358,71,20
1359,64,17
1360,56,42
1361,54,23
1362,24,64
1363,80,3
1364,1,87
1365,62,19
1366,44,56
1367,39,54
1368,42,43
1369,73,16
1370,13,81
1371,31,32
1372,100,0
1373,5,0
1374,2,0
1375,1,3
1376,1,2
1377,100,0
1378,37,21
1379,35,23
1380,83,17
1381,0,56
1382,26,23
1383,89,4
1384,0,1
1385,32,53
1386,30,60
1387,1,0
1388,1,2
1389,23,57
1390,90,6
1391,50,50
1392,3,98
1393,18,81
1394,63,37
1395,6,62
1396,0,1
1397,92,2
1398,75,9
1399,68,26
1400,59,40
1401,49,35
1402,42,28
1403,0,1
1404,14,77
1405,45,52
1406,71,3
1407,8,0
1408,74,4
1409,9,78
1410,82,7
1411,30,62
1412,28,53
1413,25,53
1414,52,4
1415,1,99
1416,74,18
1417,16,72
1418,4,64
1419,26,74
1420,19,76
1421,64,35
1422,30,46
1423,60,21
1424,51,26
1425,45,40
1426,1,0
1427,3,71
1428,62,23
1429,86,9
1430,70,0
1431,75,6
1432,2,4
1433,2,91
1434,82,3
1435,77,0
1436,56,13
1437,85,0
1438,3,1
1439,71,29
1440,3,1
1441,2,1
1442,0,2
1443,34,18
1444,67,33
1445,30,28
1446,0,1
1447,1,1
1448,24,76
1449,47,52
1450,3,52
1451,39,17
1452,74,17
1453,38,54
1454,0,1
1455,0,3
1456,70,29
1457,81,6
1458,83,3
1459,100,0
1460,30,40
1461,80,17
1462,100,0
1463,80,18
1464,80,20
1465,1,0
1466,49,44
1467,75,2
1468,80,20
1469,40,26
1470,65,22
1471,71,25
1472,54,47
1473,60,22
1474,48,43
1475,53,46
1476,71,18
1477,19,75
1478,91,7
1479,0,1
1480,88,4
1481,94,5
1482,64,26
1483,4,1
1484,36,64
1485,72,12
1486,84,15
1487,72,12
1488,2,97
1489,34,42
1490,40,41
1491,73,28
1492,68,32
1493,0,1
1494,79,22
1495,89,10
1496,61,16
1497,83,17
1498,82,1
1499,86,0
1500,71,1
1501,70,0
1502,1,2
1503,76,18
1504,83,13
1505,86,1
1506,46,47
1507,92,0
1508,64,5
1509,94,0
1510,29,63
1511,80,13
1512,81,0
1513,59,15
1514,74,9
1515,22,58
1516,86,0
1517,20,77
1518,50,50
1519,1,99
1520,30,64
1521,34,67
1522,0,100
1523,38,62
1524,38,62
1525,68,32
1526,0,100
1527,0,100
1528,0,82
1529,1,91
1530,0,72
1531,30,58
1532,26,45
1533,0,78
1534,98,1
1535,1,62
1536,0,89
1537,0,74
1538,28,73
1539,58,41
1540,2,81
1541,4,74
1542,13,72
1543,7,93
1544,99,1
1545,2,19
1546,17,82
1547,1,20
1548,93,7
1549,1,20
1550,29,70
1551,0,75
1552,4,78
1553,10,74
1554,28,73
1555,37,6
1556,4,72
1557,0,94
1558,0,82
1559,46,55
1560,77,23
1561,6,43
1562,21,67
1563,0,93
1564,0,88
1565,0,100
1566,58,42
1567,96,4
1568,82,17
1569,71,4
1570,62,38
1571,44,56
1572,48,42
1573,62,38
1574,77,22
1575,42,58
1576,0,100
1577,63,37
1578,54,47
1579,14,86
1580,88,12
1581,34,50
1582,0,73
1583,0,86
1584,1,0
1585,0,83
1586,3,54
1587,21,60
1588,93,8
1589,0,80
1590,39,44
1591,2,93
1592,42,40
1593,71,28
1594,0,85
1595,0,82
1596,0,78
1597,46,54
1598,94,6
1599,24,76
1600,87,14
1601,73,28
1602,96,4
1603,92,9
1604,50,50
1605,6,85
1606,69,31
1607,64,3
1608,50,50
1609,50,50
1610,48,52
1611,95,5
1612,88,2
1613,90,9
1614,79,21
1615,41,60
1616,5,94
1617,19,81
1618,100,0
1619,0,78
1620,2,81
1621,0,70
1622,1,0
1623,0,88
1624,24,44
1625,0,88
1626,38,62
1627,1,73
1628,3,81
1629,7,82
1630,75,25
1631,40,49
1632,0,84
1633,1,85
1634,79,2
1635,51,48
1636,94,6
1637,16,84
1638,89,10
1639,84,1
1640,44,56
1641,98,2
1642,86,14
1643,35,35
1644,74,26
1645,50,20
1646,70,30
1647,80,20
1648,100,0
1649,74,26
1650,88,12
1651,88,2
1652,92,9
1653,67,34
1654,37,55
1655,100,0
1656,70,30
1657,45,42
1658,11,89
1659,2,2
1660,2,1
1661,1,0
1662,6,0
1663,1,85
1664,52,4
1665,34,20
1666,67,28
1667,27,28
1668,39,18
1669,52,32
1670,1,0
1671,22,65
1672,43,57
1673,2,0
1674,90,9
1675,10,81
1676,81,16
1677,36,46
1678,27,61
1679,92,8
1680,30,57
1681,0,1
1682,84,1
1683,71,28
1684,42,43
1685,2,88
1686,19,65
1687,37,63
1688,0,1
1689,51,46
1690,68,11
1691,87,4
1692,4,4
1693,93,8
1694,13,87
1695,42,49
1696,71,28
1697,91,2
1698,36,56
1699,1,68
1700,17,61
1701,15,60
1702,14,77
1703,82,8
1704,50,50
1705,13,74
1706,62,38
1707,64,7
1708,12,88
1709,26,63
1710,24,71
1711,1,0
1712,85,0
1713,29,66
1714,77,0
1715,53,44
1716,99,0
1717,1,89
1718,30,63
1719,58,30
1720,92,8
1721,11,70
1722,99,0
1723,47,51
1724,22,76
1725,44,50
1726,51,49
1727,51,42
1728,65,24
1729,49,46
1730,5,63
1731,1,96
1732,92,6
1733,60,25
1734,68,32
1735,64,16
1736,71,15
1737,12,62
1738,0,3
1739,91,9
1740,38,62
1741,61,25
1742,74,15
1743,65,35
1744,53,45
1745,60,16
1746,66,34
1747,31,44
1748,44,40
1749,1,94
1750,28,49
1751,57,33
1752,28,66
1753,57,27
1754,24,52
1755,26,45
1756,96,1
1757,11,87
1758,98,2
1759,13,58
1760,67,21
1761,76,23
1762,36,52
1763,38,58
1764,22,66
1765,36,64
1766,61,19
1767,66,23
1768,63,11
1769,46,43
1770,47,15
1771,3,1
1772,44,50
1773,73,14
1774,65,26
1775,79,0
1776,86,1
1777,31,49
1778,2,4
1779,1,2
1780,95,5
1781,4,2
1782,0,3
1783,0,1
1784,1,1
1785,50,4
1786,87,14
1787,52,3
1788,100,0
1789,44,1
1790,99,1
1791,26,29
1792,56,44
1793,53,46
1794,1,1
1795,94,3
1796,67,33
1797,46,53
1798,49,51
1799,71,20
1800,64,32
1801,56,38
1802,83,17
1803,66,0
1804,58,23
1805,56,44
1806,61,25
1807,0,100
1808,2,91
1809,30,60
1810,87,4
1811,84,0
1812,81,12
1813,0,85
1814,63,36
1815,46,39
1816,28,71
1817,65,35
1818,0,1
1819,10,86
1820,75,23
1821,21,69
1822,5,2
1823,32,68
1824,24,76
1825,87,2
1826,50,30
1827,9,84
1828,73,26
1829,27,53
1830,68,21
1831,11,59
1832,69,0
1833,89,9
1834,78,6
1835,73,0
1836,68,17
1837,58,21
1838,64,9
1839,66,14
1840,58,36
1841,89,1
1842,96,0
1843,90,0
1844,32,43
1845,28,48
1846,54,14
1847,97,2
1848,74,0
1849,4,4
1850,81,2
1851,66,11
1852,63,23
1853,52,31
1854,45,0
1855,41,0
1856,44,1
1857,45,0
1858,75,0
1859,100,0
1860,96,1
1861,97,0
1862,100,0
1863,95,0
1864,96,1
1865,38,1
1866,39,0
1867,0,1
1868,39,0
1869,20,4
1870,1,0
1871,85,8
1872,97,0
1873,100,0
1874,100,0
1875,100,0
1876,100,0
1877,1,0
1878,100,0
1879,95,5
1880,86,0
1881,97,0
1882,78,0
1883,100,0
1884,0,1
1885,99,0
1886,79,0
1887,95,0
1888,77,7
1889,100,0
1890,98,0
1891,100,0
1892,89,2
1893,77,0
1894,81,0
1895,92,0
1896,100,0
1897,89,0
1898,92,1
1899,99,0
1900,98,0
1901,99,1
1902,1,0
1903,86,0
1904,80,7
1905,86,1
1906,66,28
1907,99,1
1908,29,1
1909,63,23
1910,82,0
1911,74,1
1912,88,1
1913,81,19
1914,83,0
1915,24,62
1916,99,0
1917,63,21
1918,25,0
1919,81,7
1920,52,20
1921,73,20
1922,92,7
1923,50,42
1924,56,24
1925,79,0
1926,76,15
1927,70,6
1928,68,10
1929,98,0
1930,70,4
1931,77,0
1932,64,4
1933,79,14
1934,85,0
1935,94,5
1936,22,78
1937,0,100
1938,0,100
1939,13,88
1940,19,73
1941,0,100
1942,37,63
1943,0,100
1944,4,96
1945,44,56
1946,0,100
1947,0,79
1948,0,87
1949,0,87
1950,5,71
1951,1,96
1952,0,88
1953,60,37
1954,5,67
1955,7,88
1956,9,61
1957,99,0
1958,93,8
1959,51,33
1960,0,87
1961,2,86
1962,12,88
1963,62,38
1964,16,85
1965,39,61
1966,18,81
1967,49,51
1968,28,73
1969,0,95
1970,18,51
1971,33,44
1972,5,82
1973,0,97
1974,7,84
1975,58,41
1976,0,79
1977,0,84
1978,6,73
1979,93,1
1980,87,12
1981,0,73
1982,0,93
1983,2,77
1984,55,46
1985,50,50
1986,29,70
1987,50,50
1988,81,19
1989,97,3
1990,85,15
1991,94,6
1992,56,44
1993,17,4
1994,11,10
1995,41,59
1996,32,68
1997,9,6
1998,8,81
1999,11,50
2000,31,56
2001,18,66
2002,22,55
2003,0,99
2004,88,13
2005,50,50
2006,93,7
2007,9,26
2008,2,78
2009,6,70
2010,17,60
2011,63,38
2012,3,98
2013,79,21
2014,68,32
2015,81,19
2016,75,0
2017,25,75
2018,80,10
2019,99,0
2020,80,20
2021,99,1
2022,94,5
2023,49,51
2024,61,14
2025,68,32
2026,100,0
2027,31,59
2028,71,28
2029,85,16
2030,32,8
2031,1,99
2032,23,77
2033,29,70
2034,19,81
2035,76,24
2036,56,13
2037,0,91
2038,20,55
2039,0,92
2040,12,71
2041,2,80
2042,0,1
2043,0,81
2044,0,75
2045,6,72
2046,92,8
2047,50,50
2048,38,38
2049,2,86
2050,4,87
2051,45,55
2052,87,14
2053,74,25
2054,99,1
2055,79,22
2056,20,80
2057,28,71
2058,77,22
2059,85,16
2060,91,9
2061,57,43
2062,95,5
2063,80,20
2064,76,24
2065,100,0
2066,17,64
2067,61,39
2068,41,59
2069,61,14
2070,47,46
2071,77,22
2072,90,9
2073,94,5
2074,53,37
2075,0,4
2076,86,14
2077,1,2
2078,2,0
2079,6,0
2080,25,31
2081,71,11
2082,20,35
2083,0,2
2084,1,0
2085,1,99
2086,54,46
2087,31,27
2088,17,41
2089,75,24
2090,54,47
2091,2,0
2092,1,0
2093,70,30
2094,55,45
2095,80,1
2096,100,0
2097,92,9
2098,4,95
2099,48,52
2100,5,95
2101,99,1
2102,0,1
2103,94,3
2104,48,34
2105,71,28
2106,40,48
2107,2,96
2108,64,20
2109,73,20
2110,70,11
2111,30,49
2112,90,10
2113,97,3
2114,79,21
2115,1,99
2116,0,1
2117,88,5
2118,6,76
2119,66,9
2120,2,2
2121,23,77
2122,50,25
2123,16,85
2124,40,54
2125,54,46
2126,62,9
2127,5,89
2128,87,12
2129,48,37
2130,0,1
2131,2,90
2132,1,3
2133,4,0
2134,36,64
2135,0,3
2136,5,1
2137,2,0
2138,47,9
2139,53,41
