,C,R75,F,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR
75,3,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
76,3,12,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
77,0,0,58,0,0,0,0,0,0,0,0,0,0,1,1,0,0
78,22,0,42,0,0,0,0,0,0,0,0,0,0,1,1,0,0
79,21,6,70,0,0,0,0,0,0,0,0,0,0,1,1,0,0
80,1,0,97,0,0,0,0,0,0,0,0,0,0,1,1,0,0
81,0,9,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
82,14,0,86,0,0,0,0,0,0,0,0,0,0,1,1,0,0
83,1,0,75,0,0,0,0,0,0,0,0,0,0,1,1,0,0
84,0,0,96,0,0,0,0,0,0,0,0,0,0,1,1,0,0
85,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
86,1,4,9,0,0,0,0,0,0,0,1,1,0,1,1,0,0
87,8,4,47,0,0,0,0,0,0,0,0,0,0,1,1,0,0
88,0,0,69,0,0,0,0,0,0,0,0,0,0,1,1,0,0
89,0,0,75,0,0,0,0,0,0,0,0,0,0,1,1,0,0
90,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
91,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
92,0,14,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
93,0,0,57,0,0,0,0,0,0,0,1,1,0,0,0,0,0
94,2,14,59,0,0,0,0,0,0,0,0,0,0,1,1,0,0
95,0,0,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0
96,0,0,88,0,0,0,0,0,0,0,0,0,0,1,1,0,0
97,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
98,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
99,0,34,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
100,0,2,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0
101,0,0,47,0,0,0,0,0,0,0,1,1,0,0,0,0,0
102,0,0,49,0,0,0,0,0,0,0,0,0,0,1,1,0,0
103,4,14,38,0,0,0,0,0,0,0,0,0,0,1,1,0,0
104,0,0,33,0,0,0,0,0,0,0,1,1,0,0,0,0,0
105,0,0,93,0,0,0,0,0,0,0,0,0,0,1,1,0,0
106,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0
107,0,6,20,0,0,0,0,0,0,0,0,0,0,1,1,0,0
108,2,3,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
109,0,0,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0
110,0,6,50,0,0,0,0,0,0,0,0,0,0,1,1,0,0
111,0,0,41,0,0,0,0,0,0,0,0,0,0,1,1,0,0
112,16,5,54,0,0,0,0,0,0,0,0,0,0,1,1,0,0
113,0,5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
114,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
115,0,8,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
116,0,3,49,0,0,0,0,0,0,0,1,1,0,0,0,0,0
117,3,0,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0
118,0,0,84,0,0,0,0,0,0,0,1,1,0,0,0,0,0
119,0,0,100,0,0,0,0,0,0,0,0,0,0,1,1,0,0
120,3,2,56,0,0,0,0,0,0,0,0,0,0,1,1,0,0
121,1,29,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0
122,10,3,24,0,0,0,0,0,0,0,0,0,0,1,1,0,0
123,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
124,16,2,62,0,0,0,0,0,0,0,0,0,0,1,1,0,0
125,14,17,48,0,0,0,0,0,0,0,0,0,0,1,1,0,0
126,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0
127,3,0,88,0,0,0,0,0,0,0,0,0,0,1,1,0,0
128,0,0,52,0,0,0,0,0,0,0,0,0,0,1,1,0,0
129,0,0,90,0,0,0,0,0,0,0,0,0,0,1,1,0,0
130,0,0,64,0,0,0,0,0,0,0,0,0,0,1,1,0,0
131,0,5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
132,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
133,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
134,0,0,80,0,0,0,0,0,0,0,0,0,0,1,1,0,0
135,0,0,98,0,0,0,0,0,0,0,0,0,0,1,1,0,0
136,0,4,29,0,0,0,0,0,0,0,1,1,0,0,0,0,0
137,4,0,50,0,0,0,0,0,0,0,0,0,0,1,1,0,0
138,3,0,90,0,0,0,0,0,0,0,0,0,0,1,1,0,0
139,0,0,68,0,0,0,0,0,0,0,0,0,0,1,1,0,0
140,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
141,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
