,F,C,R50
399,0,43,0
400,0,46,0
401,0,39,0
402,0,47,0
403,0,55,0
404,0,41,0
405,0,49,1
406,0,46,0
407,0,85,0
408,0,1,0
409,0,1,0
410,0,38,0
411,0,53,0
412,0,50,0
413,0,48,2
414,0,20,2
415,0,47,1
416,1,19,1
417,0,50,0
418,0,45,0
419,0,63,0
420,0,3,0
421,0,78,0
422,0,45,0
423,0,47,0
424,0,28,0
425,0,45,0
426,0,48,0
427,0,23,1
428,0,0,13
429,0,20,5
430,0,19,2
431,0,30,7
432,0,30,3
433,1,4,1
434,1,1,1
435,0,4,1
436,0,18,2
437,0,1,0
438,0,1,0
439,0,58,6
440,0,20,0
441,0,8,0
442,0,34,9
443,0,1,0
444,1,6,9
445,0,1,0
446,0,81,3
447,0,22,0
448,0,17,0
449,0,48,7
450,0,24,0
451,0,12,0
452,0,1,0
453,0,0,1
454,0,10,8
455,0,55,0
456,0,11,0
457,0,19,1
458,0,36,0
459,0,26,0
460,0,13,2
461,0,47,0
462,0,50,0
463,0,37,1
464,0,9,5
465,0,1,0
466,0,0,31
467,0,51,0
468,0,0,1
469,0,41,0
470,0,50,0
471,0,50,1
472,0,32,0
473,0,14,0
474,0,60,0
475,1,4,1
476,0,26,0
477,0,42,2
478,0,25,0
479,0,10,30
480,0,63,1
481,0,29,0
482,0,22,0
483,0,46,3
484,0,24,0
485,0,39,2
486,0,3,1
487,0,16,0
488,0,21,1
489,0,42,4
490,0,2,0
491,0,25,0
492,0,23,0
493,0,27,16
494,0,32,0
495,0,8,8
496,0,43,0
497,0,27,8
498,0,28,1
499,0,25,1
500,0,12,2
501,0,32,0
502,0,4,3
503,0,29,3
504,0,39,2
505,0,4,6
506,0,9,22
507,0,30,0
508,0,27,0
509,0,2,1
510,0,49,0
511,0,24,4
512,0,34,0
513,0,20,3
514,0,1,0
515,0,7,0
516,0,2,5
517,0,15,4
518,0,8,0
519,0,26,10
520,0,6,0
521,0,3,0
522,0,2,0
523,0,14,0
524,0,36,1
525,0,37,3
526,0,7,0
527,0,51,0
528,0,8,5
529,0,31,0
530,0,43,0
531,0,35,0
532,0,28,1
533,0,34,1
534,0,32,0
535,0,43,3
536,0,7,0
537,0,38,0
538,0,2,0
539,0,44,0
540,0,23,19
541,0,26,22
542,0,45,0
543,0,24,0
544,0,20,11
545,0,44,3
546,0,7,11
547,0,29,0
548,0,27,1
549,0,15,0
550,0,27,0
551,0,4,2
552,0,42,4
553,0,30,0
554,0,19,2
555,1,9,0
556,0,20,2
557,0,8,0
558,0,38,0
559,0,23,0
560,0,9,4
561,0,5,2
562,0,18,0
563,1,30,1
564,0,51,0
565,1,13,14
566,0,37,1
567,0,9,1
568,0,4,4
569,0,41,1
570,0,25,0
571,0,29,0
572,0,30,0
573,0,13,0
574,0,36,0
575,0,10,11
576,0,28,3
577,0,5,3
578,0,25,0
579,0,10,2
580,0,52,8
581,0,26,0
582,0,53,4
583,0,8,0
584,0,8,0
585,1,1,4
586,0,59,2
587,0,17,0
588,0,8,0
589,0,6,0
590,0,0,2
591,0,35,0
592,0,64,0
593,0,2,1
594,0,5,0
595,0,2,1
596,0,45,12
597,0,2,5
598,0,33,2
599,0,14,0
600,0,13,2
601,0,80,0
602,0,14,3
603,0,24,1
604,0,10,0
605,0,7,0
606,0,16,1
607,0,6,3
608,0,9,1
609,0,26,1
610,0,45,4
611,0,17,17
612,0,28,23
613,0,49,7
614,0,4,6
615,0,24,0
616,0,52,3
617,0,4,1
618,0,37,0
619,0,2,1
620,0,41,12
621,0,17,0
622,0,46,8
623,0,33,5
624,0,6,3
625,0,48,1
626,0,46,1
627,0,6,5
628,0,2,5
629,0,48,3
630,0,38,1
631,0,3,0
632,0,40,3
633,0,2,1
634,0,42,2
635,0,16,2
636,0,30,2
637,0,48,1
638,0,50,0
639,0,3,8
640,0,57,0
641,0,3,1
642,0,31,0
643,0,34,0
644,0,42,3
645,0,6,6
646,0,1,1
647,1,15,4
648,0,8,0
649,0,14,9
650,0,31,3
651,0,39,0
652,0,5,0
653,0,27,1
654,0,14,10
655,0,41,0
656,0,37,13
657,0,10,0
658,0,1,0
659,0,27,2
660,0,18,14
661,0,2,1
662,0,8,3
663,0,14,0
664,0,24,0
665,0,25,1
666,0,5,26
667,0,1,0
668,0,30,0
669,0,18,2
670,0,8,2
671,0,1,1
672,0,10,3
673,0,53,9
674,0,45,0
675,0,26,1
676,0,13,2
677,0,10,0
678,0,43,2
679,1,18,0
680,0,32,0
681,0,50,0
682,0,43,2
683,0,24,7
684,0,12,19
685,0,25,0
686,0,2,2
687,0,37,3
688,0,38,18
689,0,24,32
690,0,32,2
691,0,45,0
692,0,20,12
693,0,38,1
694,0,7,2
695,0,9,4
696,0,1,11
697,0,28,2
698,0,26,4
699,0,23,0
700,0,29,0
701,0,20,8
702,0,41,2
703,0,41,9
704,0,27,1
705,0,14,1
706,0,21,1
707,1,35,3
708,0,43,0
709,0,64,0
710,0,14,0
711,0,4,2
712,0,6,2
713,0,13,0
714,0,17,0
715,0,20,22
716,0,44,0
717,0,7,6
718,0,100,0
719,0,22,9
720,0,13,20
721,0,7,3
722,0,23,5
723,0,2,0
724,0,14,7
725,0,11,10
726,0,0,10
727,0,2,0
728,0,1,8
729,0,18,1
730,0,12,12
731,0,10,7
732,0,3,3
733,0,0,10
734,0,1,3
735,0,2,1
736,0,0,6
737,0,0,2
738,0,18,0
739,0,99,1
740,0,100,0
741,0,2,14
742,0,2,2
743,0,0,28
744,0,0,5
745,0,100,0
746,0,92,8
747,0,3,3
748,0,10,12
749,0,1,2
750,0,1,2
751,0,1,1
752,0,13,2
753,0,26,14
754,0,13,1
755,0,12,0
756,0,21,0
757,1,6,0
758,0,0,6
759,0,29,6
760,0,22,0
761,0,17,0
762,0,29,2
763,0,16,12
764,1,1,6
765,1,1,0
766,0,24,21
767,0,34,0
768,0,50,0
769,0,8,3
770,0,18,30
771,0,5,0
772,0,8,3
773,0,46,2
774,0,10,10
775,0,18,1
776,0,7,4
777,0,13,1
778,0,2,3
779,0,9,4
780,0,44,1
781,0,17,3
782,0,24,3
783,0,31,0
784,0,25,1
785,0,7,4
786,0,28,1
787,0,12,1
788,0,18,17
789,0,33,14
790,0,22,9
791,0,25,0
792,0,34,2
793,0,2,3
794,0,45,0
795,0,43,0
796,0,37,1
797,0,2,0
798,1,33,5
799,0,48,0
800,0,17,37
801,0,41,0
802,0,11,1
803,0,16,11
804,0,18,0
805,0,20,0
806,0,13,1
807,0,34,5
808,0,48,9
809,0,48,0
810,0,22,11
811,0,17,0
812,0,41,0
813,0,5,3
814,0,34,0
815,0,34,6
816,0,35,0
817,0,3,0
818,0,50,0
819,0,20,3
820,0,44,7
821,0,14,16
822,0,61,0
823,0,7,1
824,0,5,0
825,0,17,0
826,0,37,1
827,0,31,1
828,0,27,0
829,0,16,3
830,0,15,5
831,0,15,1
