,R50,C,F,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR,"AA,KK",WR,WR1,GS,GS1,SD
64,2,0,88,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
65,3,0,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
66,0,8,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
67,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
68,0,0,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
69,0,1,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
70,0,0,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
71,11,0,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
72,0,0,37,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
73,0,0,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
74,4,0,74,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
75,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
76,0,0,56,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
77,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
78,0,0,22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
79,0,0,38,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
80,0,0,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
81,0,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
82,0,0,54,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
83,0,0,48,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
84,0,0,59,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
85,8,1,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
86,0,0,50,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
87,0,5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
88,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
89,1,5,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
90,0,0,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
91,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
92,0,0,43,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
93,0,0,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
94,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
95,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
96,2,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
97,12,0,26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
98,1,0,34,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
99,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1
100,1,0,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
101,0,0,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
102,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
103,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
104,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
105,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
