,F,C,R50
399,2,53,0
400,2,68,0
401,7,59,0
402,0,97,0
403,0,81,0
404,32,13,0
405,43,28,0
406,8,26,0
407,27,0,0
408,3,41,0
409,59,12,0
410,0,73,0
411,0,3,0
412,2,42,0
413,53,0,0
414,50,1,0
415,0,93,0
416,0,63,0
417,0,47,0
418,40,1,0
419,57,0,0
420,28,9,0
421,20,7,0
422,0,83,0
423,0,56,0
424,6,34,0
425,0,100,0
426,0,81,0
427,0,63,0
428,0,100,0
429,1,62,0
430,3,38,0
431,3,50,0
432,1,49,0
433,0,1,0
434,17,11,0
435,32,3,0
436,36,19,0
437,0,79,0
438,0,72,0
439,56,2,0
440,29,2,0
441,40,0,0
442,62,4,0
443,0,76,0
444,0,2,0
445,53,12,0
446,69,1,0
447,51,0,0
448,0,66,0
449,1,61,0
450,0,65,0
451,44,4,0
452,43,0,0
453,68,0,0
454,26,1,0
455,0,80,0
456,0,100,0
457,1,50,0
458,0,100,0
459,1,99,0
460,0,99,0
461,33,24,0
462,0,54,0
463,0,61,0
464,0,53,0
465,8,37,0
466,0,59,0
467,0,3,0
468,0,3,0
469,49,1,0
470,54,0,0
471,13,2,0
472,0,2,0
473,0,2,0
474,59,3,0
475,28,19,0
476,50,0,0
477,4,46,0
478,0,100,0
479,78,0,0
480,52,0,0
481,41,3,0
482,47,3,0
483,5,50,0
484,1,36,0
485,0,97,0
486,17,5,0
487,55,0,0
488,52,1,0
489,37,0,0
490,3,52,0
491,0,52,0
492,2,74,0
493,0,36,0
494,0,24,0
495,0,79,0
496,0,88,0
497,0,63,0
498,1,54,0
499,1,81,0
500,0,96,0
501,0,95,0
502,9,71,0
503,0,100,0
504,0,99,0
505,0,100,0
506,0,99,0
507,0,100,0
508,0,36,0
509,2,98,0
510,30,41,0
511,1,99,0
512,0,92,0
513,0,100,0
514,0,57,0
515,2,98,0
516,1,99,0
517,0,100,0
518,0,91,0
519,0,84,0
520,0,99,0
521,0,16,0
522,0,78,0
523,1,99,0
524,0,98,0
525,1,81,0
526,2,98,0
527,0,45,0
528,7,93,0
529,0,76,0
530,0,88,0
531,0,92,0
532,0,100,0
533,0,99,0
534,0,92,0
535,0,99,0
536,0,100,0
537,0,100,0
538,0,79,0
539,0,45,0
540,0,89,0
541,3,77,0
542,0,64,0
543,0,74,0
544,0,85,0
545,0,52,0
546,0,44,0
547,0,82,0
548,0,28,0
549,0,50,0
550,0,62,0
551,0,71,0
552,0,51,0
553,0,51,0
554,0,71,0
555,0,99,0
556,0,69,0
557,0,49,0
558,0,69,0
559,0,42,0
560,0,63,0
561,0,69,0
562,0,100,0
563,1,55,0
564,0,50,0
565,0,49,0
566,0,71,0
567,0,90,0
568,0,35,0
569,0,58,0
570,0,68,0
571,1,85,0
572,1,38,0
573,0,82,0
574,0,100,0
575,1,95,0
576,0,87,0
577,0,74,0
578,0,56,0
579,0,75,0
580,0,46,0
581,0,49,0
582,0,29,0
583,0,56,0
584,0,60,0
585,0,36,0
586,0,13,0
587,0,38,0
588,0,68,0
589,0,73,0
590,0,71,0
591,0,78,0
592,0,70,0
593,1,12,0
594,0,61,0
595,0,51,0
