,C,R50
465,1,0
466,0,31
467,0,51
468,1,0
469,1,40
470,0,50
471,2,49
472,11,21
473,0,14
474,4,56
475,2,4
476,3,23
477,0,44
478,0,25
479,1,39
480,0,64
481,6,23
482,0,22
483,20,29
484,1,23
485,2,39
486,3,1
487,10,6
488,0,22
489,0,46
490,2,0
491,2,23
492,2,21
493,16,27
494,1,31
495,4,12
496,0,43
497,0,35
498,10,19
499,15,11
500,5,9
501,3,29
502,6,1
503,0,32
504,0,41
505,3,7
506,0,31
507,0,30
508,0,27
509,1,2
510,14,35
511,0,28
512,0,34
513,0,23
514,0,1
515,1,6
516,0,7
517,7,12
518,0,8
519,0,36
520,3,3
521,0,3
522,1,1
523,0,14
524,2,35
525,0,40
526,3,4
527,8,43
528,7,6
529,8,23
530,4,39
531,22,13
532,16,13
533,27,8
534,1,31
535,0,46
536,4,3
537,10,28
538,0,2
539,18,26
540,0,42
541,0,48
542,0,45
543,0,24
544,0,31
545,0,47
546,0,18
547,1,28
548,1,27
549,9,6
550,6,21
551,1,5
552,0,46
553,12,18
554,5,16
555,10,0
556,8,14
557,4,4
558,1,37
559,18,5
560,0,13
561,2,5
562,16,2
563,18,14
564,29,22
565,10,18
566,2,36
567,0,10
568,0,8
569,3,39
570,3,22
571,25,4
572,6,24
573,8,5
574,2,34
575,0,21
576,0,31
577,1,7
578,0,25
579,8,4
580,0,60
581,1,25
582,0,57
583,0,8
584,2,6
585,2,4
586,0,61
587,11,6
588,7,1
589,3,3
590,2,0
591,5,30
592,0,64
593,1,2
594,5,0
595,3,0
596,1,56
597,1,6
598,2,33
599,3,11
600,3,12
601,0,80
602,11,6
603,0,25
604,5,5
605,0,7
606,4,13
607,0,9
608,0,10
609,13,14
610,0,49
611,0,34
612,0,51
613,0,56
614,2,8
615,6,18
616,0,55
617,4,1
618,10,27
619,3,0
620,0,53
621,3,14
622,0,54
623,25,13
624,0,9
625,0,49
626,10,37
627,4,7
628,2,5
629,0,51
630,0,39
631,1,2
632,5,38
633,0,3
634,0,44
635,6,12
636,2,30
637,0,49
638,0,50
639,0,11
640,23,34
641,4,0
642,17,14
643,0,34
644,0,45
645,12,0
646,0,2
647,12,8
648,7,1
649,8,15
650,8,26
651,0,39
652,3,2
653,4,24
654,0,24
655,2,39
656,0,50
657,6,4
658,1,0
659,4,25
660,0,32
661,0,3
662,8,3
663,8,6
664,6,18
665,0,26
666,0,31
667,1,0
668,22,8
669,12,8
670,0,10
671,0,2
672,3,10
673,15,47
674,0,45
675,0,27
676,2,13
677,0,10
678,2,43
679,15,4
680,9,23
681,5,45
682,31,14
683,7,24
684,0,31
685,0,25
686,3,1
687,0,40
688,0,56
689,0,56
690,3,31
691,0,45
692,0,32
693,0,39
694,0,9
695,7,6
696,0,12
697,23,7
698,8,22
699,7,16
700,0,29
701,12,16
702,3,40
703,0,50
704,0,28
705,1,14
706,18,4
707,11,28
708,5,38
709,16,48
710,6,8
711,0,6
712,4,4
713,6,7
