,C,R50
532,4,3
533,0,31
534,2,91
535,42,16
536,27,67
537,16,64
538,15,53
539,0,22
540,4,89
541,0,38
542,0,31
543,54,44
544,12,87
545,22,69
546,14,41
547,14,2
548,0,79
549,0,100
550,0,51
551,0,38
552,0,90
553,5,43
554,0,95
555,19,37
556,3,67
557,1,91
558,24,66
559,9,59
560,4,61
561,0,100
562,7,92
563,0,99
564,16,59
565,3,97
566,0,66
567,28,55
568,0,95
569,21,74
570,0,87
571,0,78
572,29,40
573,0,89
574,0,95
575,39,52
576,25,74
577,4,72
578,13,62
579,1,68
580,0,86
581,24,54
582,2,61
583,0,89
584,7,76
585,0,74
586,6,64
587,1,86
588,11,56
589,34,65
590,55,41
591,3,71
592,0,88
593,51,20
594,12,83
595,51,12
596,86,6
597,45,22
598,48,16
599,32,45
600,12,65
601,36,42
602,79,0
603,42,14
604,60,8
605,57,35
606,16,53
607,0,60
608,34,45
609,75,2
610,96,4
611,42,47
612,37,39
613,0,59
614,2,1
615,2,84
616,0,79
617,14,69
618,27,70
619,0,70
620,38,59
621,1,89
622,4,96
623,21,61
624,86,5
625,76,10
626,51,23
627,48,29
628,41,35
629,70,0
630,17,56
631,0,67
632,57,14
633,20,69
634,72,22
635,41,39
636,0,73
637,0,93
638,0,70
639,51,27
640,64,16
641,16,79
642,72,9
643,53,9
644,21,51
645,16,45
646,0,63
647,0,55
648,1,54
649,68,31
650,70,12
651,17,63
652,3,6
653,34,65
654,30,65
655,47,24
656,0,63
657,8,85
658,1,88
659,0,51
660,2,81
661,49,35
662,62,7
663,74,0
664,58,16
665,0,91
666,68,6
667,68,4
668,50,39
669,34,48
670,3,49
671,22,58
672,16,68
673,0,84
674,60,20
675,0,99
676,3,66
677,62,15
678,3,62
679,69,7
680,1,2
681,0,76
682,13,71
683,0,31
684,57,17
685,2,86
686,1,73
687,4,78
688,55,25
689,19,41
690,5,20
691,0,76
692,0,78
693,0,80
694,0,89
695,0,78
696,0,100
697,0,93
698,0,86
699,1,9
700,2,94
701,0,81
702,4,80
703,0,98
704,11,87
705,0,58
706,1,74
707,48,43
708,60,16
709,59,6
710,2,71
711,72,1
712,84,6
713,32,38
714,35,42
715,20,58
716,0,67
717,93,7
718,51,15
719,2,1
720,1,86
721,58,33
722,76,13
723,28,52
724,54,19
725,2,57
726,9,42
727,0,80
728,0,26
729,11,50
730,18,58
731,12,83
732,13,75
733,30,66
734,17,0
735,10,69
736,0,73
737,0,61
738,0,83
739,0,84
740,0,86
741,4,81
742,24,55
743,1,60
744,41,45
745,1,6
746,0,32
747,0,36
748,3,86
749,14,74
750,0,98
751,7,18
752,15,58
753,15,50
754,0,78
755,1,74
756,43,50
757,33,15
758,42,45
759,7,81
760,21,51
761,69,17
762,0,65
763,47,36
764,0,65
765,5,72
766,6,75
767,45,17
768,50,17
769,0,81
770,8,4
771,0,58
772,0,48
773,13,57
774,0,89
775,4,77
776,13,68
777,13,52
778,42,42
779,8,60
780,0,29
781,0,18
782,26,67
783,16,56
784,9,68
785,57,18
786,14,52
787,0,78
788,55,23
789,0,47
790,25,39
791,0,72
792,7,65
793,37,34
794,1,74
795,0,88
796,85,1
797,0,39
798,3,61
799,0,89
800,35,49
801,24,59
802,62,28
803,47,29
804,72,4
805,0,37
806,8,76
807,0,100
808,1,90
809,4,93
810,39,48
811,0,79
812,10,72
813,64,34
814,27,72
815,0,46
816,0,77
817,0,88
818,52,22
819,15,70
820,25,41
821,1,98
822,0,88
823,9,83
824,31,44
825,0,83
826,10,51
827,0,88
828,0,94
829,9,80
830,14,76
831,11,62
832,31,63
833,4,96
834,33,36
835,10,58
836,0,73
837,0,99
838,0,96
839,0,69
840,2,96
841,0,79
842,0,60
843,0,74
844,13,62
845,5,70
846,1,81
847,34,63
848,46,52
849,0,75
850,33,50
851,15,70
852,16,63
853,24,65
854,18,60
855,21,69
856,60,22
857,1,87
858,48,35
859,53,29
860,16,56
861,81,3
862,2,73
863,25,66
864,6,52
865,10,80
866,54,37
867,0,55
868,0,2
869,1,51
870,0,72
871,5,67
872,0,82
873,38,49
874,0,64
875,1,60
876,72,9
877,81,6
878,20,68
879,0,80
880,0,88
881,7,74
882,60,32
883,78,7
884,1,83
885,62,23
886,0,89
887,63,22
888,63,26
889,5,72
890,1,77
891,18,48
892,84,13
893,85,1
894,1,1
895,17,52
896,0,64
897,0,2
898,0,89
899,0,97
900,2,98
901,93,6
902,7,71
903,16,51
904,14,6
905,0,2
906,0,86
907,0,92
908,8,91
909,0,95
910,11,52
911,17,55
912,12,79
913,2,79
914,3,83
915,69,16
916,35,40
917,20,68
918,7,85
919,29,63
920,26,50
921,0,55
922,26,56
923,2,87
924,0,80
925,0,51
926,17,70
927,0,88
928,16,74
929,43,52
930,1,71
931,64,8
932,4,56
933,0,91
934,0,87
935,0,74
