,F,C,R50
399,0,0,7
400,0,0,1
401,4,0,0
402,0,0,2
403,0,0,42
404,5,0,22
405,4,3,9
406,1,0,14
407,0,0,4
408,3,0,51
409,0,0,12
410,1,0,21
411,0,0,14
412,0,0,14
413,0,0,5
414,2,0,17
415,2,0,1
416,0,0,1
417,1,0,23
418,0,0,9
419,4,0,0
420,0,0,7
421,0,0,16
422,2,0,1
423,0,0,28
424,0,0,21
425,0,0,29
426,0,0,39
427,0,0,25
428,1,0,3
429,0,0,13
430,0,0,1
431,2,0,22
432,1,0,1
433,0,0,7
434,0,0,6
435,0,0,1
436,0,0,11
437,0,0,34
438,0,0,55
439,0,0,3
440,0,0,51
441,0,0,12
442,0,0,51
443,0,0,86
444,0,0,45
445,0,0,48
446,0,0,32
447,0,0,12
448,0,0,36
449,0,0,79
450,0,0,42
451,0,0,60
452,0,0,57
453,0,0,16
454,1,0,33
455,0,0,75
456,0,0,96
457,0,0,42
458,0,0,37
459,0,1,1
460,0,0,2
461,0,0,14
462,0,0,27
463,0,0,38
464,1,0,0
465,0,0,4
466,0,0,21
467,0,0,86
468,0,0,76
469,0,0,51
470,0,0,48
471,0,0,41
472,0,0,70
473,0,2,15
474,0,0,57
475,0,0,20
476,0,0,72
477,0,0,41
478,0,0,51
479,0,0,64
480,0,0,16
481,0,0,72
482,0,0,53
483,0,0,21
484,0,0,16
485,1,0,0
486,0,0,68
487,0,0,70
488,0,0,17
489,0,0,3
490,8,3,23
491,0,0,30
492,4,6,37
493,0,0,8
494,0,0,1
495,0,0,2
496,0,0,49
497,0,0,62
498,0,0,74
499,0,0,58
500,0,0,68
501,0,0,68
502,0,0,50
503,0,0,34
504,0,0,3
505,0,0,22
506,0,0,16
507,0,0,60
508,0,0,3
509,0,0,62
510,0,0,3
511,0,0,69
512,0,0,1
513,0,0,13
514,0,0,57
515,0,1,1
516,0,0,1
517,0,0,4
518,0,0,55
519,0,0,19
520,3,2,0
521,0,0,1
522,0,0,2
523,3,0,1
524,0,0,11
525,1,0,0
526,0,0,48
527,0,0,60
528,0,0,59
529,0,0,2
530,0,0,72
531,0,0,84
532,0,0,32
533,0,0,35
534,0,0,20
535,0,0,93
536,0,0,51
537,2,0,0
538,0,0,1
539,0,0,58
540,0,0,76
541,0,0,28
542,0,0,54
543,0,0,2
544,0,0,9
545,0,0,11
546,0,0,18
547,0,0,12
548,9,0,4
549,0,0,30
550,0,0,17
551,0,0,10
552,1,1,2
553,6,0,18
554,0,0,1
555,0,0,41
556,1,0,0
557,1,0,2
558,0,0,14
559,0,0,7
560,0,0,15
561,1,0,14
562,0,0,1
563,0,0,43
564,0,0,33
565,0,0,42
566,0,0,7
567,0,0,21
568,0,0,69
569,0,0,47
570,0,0,5
571,0,0,6
572,0,0,45
573,0,0,50
574,0,0,8
575,0,0,13
576,0,0,4
577,0,0,13
578,0,0,13
579,0,0,42
580,0,0,8
581,0,0,26
582,0,0,16
583,0,0,9
584,0,0,57
585,0,0,14
586,0,0,55
587,0,0,25
588,0,0,7
589,0,0,37
590,0,0,1
591,0,0,85
592,0,0,3
593,0,0,35
594,0,0,24
595,0,0,62
596,0,0,47
597,0,0,72
598,0,0,8
599,0,0,1
600,0,0,4
601,0,0,39
602,0,0,10
603,0,0,64
604,0,0,27
605,0,0,52
606,0,0,15
607,0,0,25
608,0,0,1
609,0,0,9
610,0,0,31
611,0,0,10
612,0,0,9
613,0,0,14
614,0,0,11
615,0,0,31
616,0,0,4
617,0,0,33
618,1,0,9
619,0,0,2
620,0,0,13
621,0,0,5
622,0,0,1
623,0,0,34
624,0,0,46
625,0,0,33
626,0,0,15
627,0,0,16
628,0,0,24
629,0,0,18
630,0,0,21
631,0,0,60
632,0,0,1
633,0,0,48
634,0,0,53
635,0,0,16
636,0,0,81
637,0,0,2
638,0,0,25
639,0,0,6
640,0,0,10
641,0,0,54
642,0,0,1
643,0,0,5
644,1,0,37
645,0,0,1
646,0,0,72
647,0,0,81
648,0,0,20
649,0,0,7
650,0,0,60
651,0,0,78
652,0,0,1
653,0,0,62
654,0,0,63
655,0,0,63
656,0,0,5
657,0,0,1
658,0,0,18
659,0,0,84
660,0,0,85
661,1,0,0
662,0,0,17
663,1,0,1
664,0,0,93
665,0,0,7
666,0,0,16
667,0,0,14
668,0,0,8
669,0,0,11
670,0,0,17
671,0,0,12
672,0,0,2
673,0,0,3
674,0,0,69
675,0,0,35
676,0,0,20
677,0,0,7
678,0,0,29
679,0,0,26
680,0,0,26
681,0,0,2
682,0,0,17
683,0,0,16
684,0,0,43
685,0,0,1
686,0,0,64
687,0,0,4
688,0,0,5
689,1,0,5
690,0,0,28
691,0,0,9
692,0,0,2
693,0,0,1
694,0,0,5
695,0,0,9
696,0,0,3
697,1,0,0
698,0,0,5
699,0,0,49
700,0,0,57
701,0,0,11
702,0,0,61
703,0,0,18
704,0,0,16
705,0,0,1
706,0,0,82
707,0,0,7
708,0,0,70
709,0,0,23
710,0,0,2
711,0,0,61
712,0,0,20
713,0,0,10
714,0,0,7
715,0,0,24
716,0,0,26
717,0,0,1
718,0,0,14
719,0,0,1
720,1,0,0
721,0,0,12
722,1,1,11
723,1,0,0
724,1,0,35
725,1,0,9
726,0,0,10
727,0,0,33
728,0,1,0
729,0,0,4
730,0,0,6
731,0,0,1
732,0,0,1
733,0,0,2
734,0,0,11
735,0,0,1
736,0,0,36
737,0,0,1
738,0,0,1
739,0,0,25
740,0,0,6
741,0,0,9
742,0,0,2
743,0,0,5
744,0,0,10
745,0,0,67
746,0,0,20
747,0,0,4
748,0,0,10
749,0,0,43
750,0,0,9
751,0,0,28
752,0,0,8
753,0,0,8
754,0,0,1
755,0,0,1
756,0,0,65
757,0,0,5
758,0,0,2
759,0,0,1
760,0,0,11
761,0,0,9
762,0,0,7
763,0,0,8
764,0,0,42
765,0,0,26
766,0,0,48
767,0,0,11
768,0,0,19
769,0,0,1
770,0,0,10
771,0,0,20
772,0,0,35
773,0,0,19
774,0,0,20
775,0,0,5
776,0,0,12
777,0,0,7
778,0,0,52
779,0,0,79
780,0,0,1
781,0,0,28
782,0,0,47
783,0,0,3
784,0,0,92
785,0,0,1
786,0,0,1
787,0,0,68
788,0,0,11
789,0,0,14
790,0,0,19
791,0,0,1
792,0,0,2
793,0,0,1
794,0,0,6
795,0,0,44
796,0,0,3
797,0,0,14
798,0,0,31
799,0,0,47
800,6,0,0
801,15,1,17
802,0,0,8
803,0,0,83
804,2,0,0
805,0,2,0
806,0,0,48
807,3,0,46
808,21,0,0
809,0,12,0
810,1,0,1
811,0,0,50
812,3,0,11
813,6,0,0
814,36,0,0
815,15,0,0
816,3,0,1
817,8,0,3
818,0,0,76
819,1,0,0
820,2,0,1
821,0,0,49
822,0,0,50
823,0,0,32
824,0,0,62
825,29,0,0
826,0,0,24
827,0,0,73
828,0,0,32
829,3,0,3
830,17,2,7
831,0,0,8
832,0,0,40
833,0,0,27
834,0,0,63
835,0,0,18
836,1,0,0
837,0,0,46
838,0,0,52
839,0,0,11
840,1,1,47
841,2,0,0
842,0,0,18
843,0,0,78
844,1,0,50
845,0,0,61
846,0,0,1
847,1,0,27
848,0,0,30
849,1,1,89
850,29,0,0
851,0,0,41
852,0,0,40
853,0,0,3
854,2,0,0
855,1,0,0
856,42,0,0
857,6,0,0
858,78,0,0
859,54,0,0
860,53,0,0
861,54,0,1
862,43,0,0
863,55,0,0
864,69,0,0
865,20,0,0
866,49,0,0
867,55,0,0
868,84,0,0
869,95,0,0
870,58,0,0
871,43,0,0
872,62,0,0
873,94,0,0
874,66,0,0
875,74,0,0
876,1,0,0
877,48,0,0
878,41,0,0
879,53,0,0
880,80,0,0
881,80,0,0
882,90,0,3
883,79,0,0
884,58,0,0
885,60,0,0
886,77,0,0
887,52,0,0
888,74,0,0
889,96,0,0
890,91,0,0
891,90,0,0
892,65,0,0
893,43,0,0
894,34,0,0
895,31,0,0
896,73,0,0
897,32,0,0
898,76,0,0
899,80,0,0
900,93,0,0
901,72,0,1
902,47,0,0
903,77,0,0
904,79,0,0
905,77,0,0
906,29,0,10
907,85,0,0
908,59,0,0
909,75,0,0
910,49,0,0
911,52,0,0
912,2,0,0
913,1,0,0
914,1,0,0
915,1,0,1
916,80,0,0
917,9,0,1
918,25,0,0
919,79,0,0
920,30,0,0
921,15,0,0
922,88,0,0
923,72,0,0
924,90,0,0
925,2,0,0
926,56,0,0
927,53,0,0
928,51,0,0
929,76,0,0
930,84,0,1
931,54,0,0
932,68,0,0
933,71,0,1
934,35,0,4
935,52,0,0
936,42,0,0
937,56,0,0
938,46,0,0
939,90,0,0
940,89,0,0
941,66,0,0
942,4,0,1
943,42,0,0
944,87,0,0
945,24,0,0
946,92,0,0
947,81,0,0
948,36,0,24
949,31,0,1
950,82,0,0
951,92,0,0
952,23,0,0
953,48,0,0
954,77,0,0
955,63,0,1
956,98,0,0
957,63,0,0
958,54,0,0
959,50,0,0
960,85,0,0
961,0,0,11
962,0,0,33
963,0,0,72
964,0,0,18
965,0,0,4
966,0,0,4
967,0,0,6
968,0,0,80
969,0,0,56
970,0,0,40
971,2,0,0
972,91,0,0
973,0,0,2
974,1,0,0
975,1,0,1
976,28,0,0
977,71,0,0
978,35,0,0
979,87,0,0
980,18,0,1
981,24,0,0
982,26,0,0
983,68,0,0
984,63,0,0
985,78,0,0
986,83,0,0
987,75,0,0
988,41,0,0
989,33,0,0
990,78,0,0
991,76,0,4
992,81,0,0
993,67,0,0
994,35,0,1
995,56,0,0
996,44,0,0
997,59,0,0
