,C,R50,F,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR,"AA,KK",WR,WR1,GS,GS1,SD
64,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
65,1,0,32,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
66,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
67,0,0,28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
68,8,0,69,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
69,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
70,1,0,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
71,0,0,97,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
72,6,0,54,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
73,0,0,100,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
74,1,0,49,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
75,0,0,80,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
76,3,0,55,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
77,0,0,57,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
78,50,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
79,86,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
80,0,0,40,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
81,0,0,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
82,14,0,42,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
83,0,0,69,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
84,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
85,68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
86,0,0,57,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
87,0,0,81,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
88,0,0,36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
89,0,0,88,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
90,0,0,69,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
91,61,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
92,76,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
93,0,0,38,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
94,3,0,55,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
95,0,0,36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
96,1,0,88,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
97,5,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
98,1,0,59,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
99,0,0,60,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
100,0,0,43,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
101,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
102,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
103,0,0,100,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
104,0,0,48,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
105,3,0,46,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
106,0,0,70,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
107,0,0,88,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
108,63,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
109,81,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
110,0,0,36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
111,0,0,73,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
112,0,0,66,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
113,14,0,69,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
114,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
115,24,0,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
116,1,0,67,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
117,1,0,44,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
118,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
119,5,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
120,0,0,32,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
121,0,0,53,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
122,1,0,77,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
123,75,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
124,72,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
125,0,0,54,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
126,0,0,38,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
127,1,0,58,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
128,0,0,76,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
129,1,0,48,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
130,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
131,0,0,28,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
132,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
133,2,0,86,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
134,1,0,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
135,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
136,0,0,62,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
137,0,0,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
138,1,0,77,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
139,69,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
140,71,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
141,1,0,57,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
142,2,0,35,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
143,0,0,47,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
144,0,0,46,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
145,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
146,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
147,1,0,63,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
148,0,0,60,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
149,0,0,88,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
150,0,0,67,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
151,0,0,86,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
152,5,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
153,2,0,66,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
154,0,0,92,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
155,0,0,40,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
156,79,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
157,47,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
158,0,0,100,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
159,1,0,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
160,7,0,47,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
161,3,0,97,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
162,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
163,58,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
164,0,0,97,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
165,0,0,100,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
166,0,0,97,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
167,0,0,90,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
168,0,0,99,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
169,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
170,0,0,61,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
171,5,0,73,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
172,0,0,54,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
173,63,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
174,52,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
175,4,0,63,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
176,0,0,41,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
177,0,0,69,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
178,0,0,61,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
179,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
180,0,0,100,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
