,F,C,R75
399,0,15,2
400,0,37,0
401,1,1,2
402,0,0,19
403,0,0,53
404,0,6,2
405,1,0,0
406,0,0,35
407,0,11,34
408,0,0,30
409,0,13,1
410,0,4,0
411,0,49,3
412,0,4,4
413,1,0,83
414,0,0,3
415,1,1,1
416,0,3,23
417,1,61,0
418,0,3,1
419,0,8,5
420,0,0,3
421,0,12,7
422,1,0,0
423,0,0,48
424,0,7,29
425,0,5,34
426,0,9,27
427,0,21,5
428,0,0,1
429,0,0,20
430,0,1,3
431,0,0,63
432,0,5,1
433,0,0,5
434,0,0,73
435,0,0,21
436,0,0,7
437,1,0,78
438,0,0,3
439,0,0,5
440,0,44,0
441,0,0,1
442,0,0,30
443,0,0,2
444,0,0,85
445,0,13,0
446,0,0,19
447,1,2,41
448,1,6,52
449,1,12,52
450,0,2,4
451,0,2,0
452,0,0,20
453,0,0,21
454,0,3,90
455,0,5,28
456,0,1,6
457,0,2,0
458,0,0,28
459,0,1,5
460,0,9,4
461,0,11,12
462,0,22,32
463,0,0,5
464,0,15,21
465,1,0,0
466,0,3,15
467,0,0,18
468,0,0,15
469,0,9,17
470,0,0,4
471,0,0,18
472,1,40,11
473,0,1,17
474,0,2,43
475,0,6,10
476,0,1,5
477,0,15,27
478,0,0,3
479,0,0,38
480,0,2,4
481,0,53,35
482,0,1,17
483,0,0,28
484,1,1,60
485,0,0,57
486,0,14,1
487,0,3,15
488,0,5,4
489,0,7,74
490,0,0,59
491,0,0,19
492,0,2,1
493,0,4,2
494,0,31,0
495,0,1,56
496,0,4,10
497,0,1,11
498,0,1,81
499,0,0,9
500,1,1,23
501,0,0,5
502,0,8,7
503,0,0,4
504,0,6,5
505,0,1,2
506,0,1,44
507,0,8,22
508,0,6,5
509,0,0,16
510,0,0,37
511,0,23,10
512,0,21,50
513,0,5,9
514,0,0,4
515,0,0,4
516,0,0,54
517,0,0,47
518,0,1,24
519,0,5,11
520,0,0,12
521,0,0,52
522,0,2,20
523,0,50,12
524,0,7,4
525,0,0,1
526,0,0,6
527,0,0,33
528,0,7,33
529,1,11,7
530,0,0,1
531,0,0,26
532,0,0,38
533,1,3,35
534,0,3,0
535,0,0,7
536,0,0,23
537,0,1,0
538,0,0,1
539,0,8,2
540,0,1,36
541,0,0,25
542,0,0,4
543,0,0,24
544,0,0,44
545,1,0,3
546,0,1,4
547,0,6,6
548,0,0,4
549,0,3,22
550,0,19,16
551,0,0,30
552,0,0,1
553,0,0,4
554,0,0,2
555,0,0,84
556,0,1,54
557,0,5,11
558,0,1,61
559,0,47,43
560,0,46,15
561,0,6,22
562,0,0,3
563,0,21,23
564,0,45,6
565,1,3,4
566,0,1,21
567,0,15,58
568,0,9,22
569,0,0,30
570,0,0,63
571,0,5,17
572,0,0,11
573,0,6,0
574,0,29,24
575,0,1,60
576,0,1,29
577,0,0,71
578,0,3,0
579,0,0,81
580,0,0,37
581,0,0,13
582,0,0,26
583,0,3,16
584,0,0,48
585,0,0,2
586,0,0,49
587,0,1,1
588,0,0,73
589,0,9,9
590,0,0,15
591,0,0,47
592,0,0,32
593,0,2,1
594,0,2,6
595,1,2,0
596,0,34,37
597,0,1,1
598,0,2,2
599,1,21,20
600,0,0,65
601,0,39,5
602,0,4,9
603,0,11,35
604,0,0,77
605,0,0,6
606,0,5,8
607,0,19,28
608,0,0,98
609,0,29,32
610,0,0,9
611,0,0,62
612,0,0,46
613,0,1,1
614,0,6,9
615,0,7,2
616,0,33,22
617,0,1,11
618,0,0,9
619,0,0,4
620,0,2,6
621,0,1,8
622,0,0,7
623,0,0,16
624,0,2,58
625,0,0,28
626,1,0,0
627,0,23,17
628,0,0,8
629,0,0,66
630,0,1,9
631,1,0,13
632,0,1,0
633,1,0,58
634,0,23,2
635,0,0,15
636,0,1,39
637,0,0,23
638,0,1,2
639,0,0,49
640,0,0,47
641,0,4,0
642,1,4,61
643,0,1,22
644,0,12,13
645,0,0,78
646,0,0,8
647,0,0,13
648,0,2,30
649,0,1,5
650,0,3,7
651,0,0,1
652,0,1,7
653,0,1,34
654,0,4,14
655,0,5,3
656,0,6,10
657,0,25,2
658,1,0,71
659,0,2,49
660,0,6,90
661,0,1,11
662,0,0,68
663,0,19,30
664,0,1,9
665,0,1,42
666,1,0,22
667,0,0,86
668,1,1,5
669,1,1,2
670,0,0,18
671,0,1,46
672,0,0,3
673,0,2,19
674,0,0,30
675,0,0,51
676,0,0,12
677,0,12,39
678,0,23,66
679,0,17,39
680,1,0,7
681,0,0,17
682,0,0,2
683,0,10,36
684,0,0,34
685,0,0,59
686,0,0,55
687,0,6,1
688,0,2,58
689,0,0,1
690,0,1,8
691,0,0,38
692,0,0,61
693,0,0,48
694,0,1,44
695,1,58,40
696,0,0,35
697,0,4,16
698,0,11,61
699,0,1,8
700,0,1,32
701,1,0,25
702,1,30,62
703,0,37,6
704,0,25,41
705,0,0,18
706,0,0,40
707,1,0,76
708,1,21,3
709,0,3,1
710,0,0,10
711,0,6,11
712,0,0,2
713,0,1,24
714,0,3,34
715,0,1,14
716,0,5,1
717,0,1,7
718,0,2,3
719,0,0,96
720,1,0,2
721,0,2,30
722,0,7,21
723,0,0,39
724,0,2,13
725,0,9,45
726,0,0,11
727,1,2,72
728,0,23,4
729,0,5,0
730,0,5,12
731,0,0,1
732,0,0,25
733,0,1,8
734,0,1,6
735,0,2,27
736,0,6,0
737,0,0,10
738,0,12,38
739,0,0,11
740,0,44,1
741,0,27,3
742,0,0,3
743,0,0,38
744,0,1,5
745,0,0,64
746,0,7,51
747,0,7,1
748,0,1,21
749,0,0,4
750,0,1,21
751,0,0,11
752,0,0,3
753,0,0,19
754,0,0,28
755,0,0,7
756,0,1,1
757,0,0,12
758,0,1,1
759,0,6,1
760,0,2,4
761,0,0,24
762,1,0,4
763,0,0,17
764,0,8,46
765,0,17,23
766,0,1,30
767,0,0,12
768,0,5,7
769,0,1,2
770,0,2,25
771,0,8,42
772,0,4,57
773,0,0,1
774,0,0,7
775,0,0,14
776,0,3,0
777,0,0,1
778,0,9,4
779,0,4,37
780,1,8,25
781,0,2,1
782,0,0,18
783,0,0,22
784,0,7,51
785,0,0,1
786,0,2,18
787,0,2,0
788,0,0,1
789,0,16,0
790,0,1,64
791,0,15,6
792,0,6,0
793,0,0,8
794,1,0,1
795,0,6,4
796,0,32,5
797,0,13,10
798,0,46,2
799,0,23,10
