,C,R50,Q,FULL,FULL1,TRIPS,TRIPS1,TP,TPTK,LP,BOP,OP,RR,LRR,HRR,DRR
92,0,27,0,1,0,0,0,0,0,1,1,0,0,0,0,0
93,0,13,0,1,0,0,0,0,0,1,1,0,0,0,0,0
94,0,19,0,0,0,0,0,0,0,1,1,0,0,0,0,0
95,48,52,0,0,0,0,0,0,0,0,0,0,1,1,0,0
96,52,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0
97,28,72,0,0,0,0,0,0,0,0,0,0,1,1,0,0
98,97,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0
99,60,40,0,0,0,0,0,0,0,0,0,0,1,1,0,0
100,13,12,0,0,0,0,0,0,0,1,1,0,1,1,0,0
101,12,36,0,0,0,0,0,0,0,1,1,0,1,1,0,0
102,47,10,0,0,0,0,0,0,0,1,1,0,1,1,0,0
103,62,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
104,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
105,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
106,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
107,3,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
108,4,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
109,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
110,99,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
111,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
112,0,32,0,1,0,0,0,0,0,1,1,0,0,0,0,0
113,10,26,0,0,0,0,0,0,0,1,1,0,0,0,0,0
114,97,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
115,75,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
116,24,21,0,0,0,0,0,0,0,0,0,0,1,1,0,0
117,94,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
118,42,30,0,0,0,0,0,0,0,0,0,0,1,1,0,0
119,25,4,0,0,0,0,0,0,0,1,1,0,1,1,0,0
120,25,25,0,0,0,0,0,0,0,1,1,0,1,1,0,0
121,5,38,0,0,0,0,0,0,0,1,1,0,1,1,0,0
122,46,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0
123,90,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0
124,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
125,66,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
126,0,4,0,0,0,0,0,0,0,1,1,0,1,1,0,0
127,3,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
128,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
129,75,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
130,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
131,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
132,2,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0
133,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
134,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
135,91,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
136,0,32,0,1,0,0,0,0,0,1,1,0,0,0,0,0
137,3,62,0,0,0,0,0,0,0,1,1,0,1,1,0,0
138,0,45,0,1,0,0,0,0,0,1,1,0,0,0,0,0
139,6,35,0,0,0,0,0,0,0,1,1,0,1,1,0,0
140,1,12,0,1,0,0,0,0,0,1,1,0,0,0,0,0
141,0,30,0,1,0,0,0,0,0,1,1,0,0,0,0,0
142,15,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0
143,16,32,0,0,0,0,0,0,0,0,0,0,1,1,0,0
144,25,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0
145,49,39,0,0,0,0,0,0,0,0,0,0,1,1,0,0
146,80,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
147,61,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0
148,0,13,0,1,0,0,0,0,0,1,1,0,0,0,0,0
149,27,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0
150,28,27,0,0,0,0,0,0,0,1,1,0,0,0,0,0
151,78,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
152,22,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
153,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
154,96,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0
155,18,19,0,0,0,0,0,0,0,0,0,0,1,1,0,0
156,60,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
157,35,27,0,0,0,0,0,0,0,1,1,0,1,1,0,0
158,46,15,0,0,0,0,0,0,0,1,1,0,1,1,0,0
159,50,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
160,62,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
161,80,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
162,81,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
163,0,16,0,1,0,0,0,0,0,1,1,0,0,0,0,0
164,27,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0
165,50,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0
166,13,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0
167,85,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0
168,16,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0
169,43,44,0,0,0,0,0,0,0,0,0,0,1,1,0,0
170,96,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0
171,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
172,50,50,0,0,0,0,0,0,0,0,0,0,1,1,0,0
173,98,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0
174,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
175,1,15,0,0,0,0,0,0,0,1,1,0,1,1,0,0
176,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
177,56,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
178,55,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
179,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
180,5,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
181,8,9,0,1,0,0,0,0,0,1,1,0,0,0,0,0
182,45,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0
183,48,43,0,0,0,0,0,0,0,0,0,0,1,1,0,0
184,5,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0
185,56,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
186,41,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
187,68,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
188,4,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
189,97,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0
190,64,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0
191,99,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
192,2,20,0,0,0,0,0,0,0,1,1,0,1,1,0,0
193,5,7,0,0,0,0,0,0,0,1,1,0,1,1,0,0
194,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
195,62,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
196,76,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0
197,47,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
198,2,3,0,0,0,0,0,0,0,1,1,0,1,1,0,0
199,2,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0
200,98,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0
201,98,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0
202,51,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
203,0,44,0,1,0,0,0,0,0,1,1,0,1,1,0,0
204,0,44,0,1,0,0,0,0,0,1,1,0,1,1,0,0
205,0,28,0,1,0,0,0,0,0,1,1,0,1,1,0,0
206,11,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
207,4,11,0,0,0,0,0,0,0,0,0,0,1,1,0,1
208,7,5,0,0,0,0,0,0,0,0,0,0,1,1,0,1
209,37,13,0,0,0,0,0,0,0,0,0,0,1,1,0,1
210,16,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
211,6,36,0,0,0,0,0,0,0,1,1,0,1,1,0,0
212,45,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
213,62,4,0,0,0,0,0,0,0,1,1,0,1,1,0,0
214,65,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
215,49,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
216,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
217,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
218,35,27,0,0,0,0,0,0,0,1,1,0,1,1,0,0
219,43,20,0,0,0,0,0,0,0,1,1,0,1,1,0,0
220,99,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
221,65,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
222,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
223,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
224,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
225,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
226,74,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
227,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
228,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
229,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
230,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
231,96,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0
232,3,11,0,1,0,0,0,0,0,1,1,0,0,0,0,0
233,4,37,0,0,0,0,0,0,0,1,1,0,1,1,0,0
234,5,46,0,0,0,0,0,0,0,1,1,0,1,1,0,0
235,3,11,0,1,0,0,0,0,0,1,1,0,0,0,0,0
236,35,59,0,0,0,0,0,0,0,1,1,0,0,0,0,0
237,83,17,0,0,0,0,0,0,0,0,0,0,1,1,0,0
238,30,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0
239,42,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0
240,48,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
241,74,26,0,0,0,0,0,0,0,0,0,0,1,1,0,0
242,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
243,1,26,0,1,0,0,0,0,0,1,1,0,0,0,0,0
244,16,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0
245,65,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
246,4,81,0,0,0,0,0,0,0,1,1,0,0,0,0,0
247,60,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0
248,81,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
249,60,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0
250,77,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
251,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
252,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
253,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
254,91,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0
255,0,33,0,1,0,0,0,0,0,1,1,0,0,0,0,0
256,1,52,0,0,0,0,0,0,0,1,1,0,0,0,0,0
257,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
258,28,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0
259,37,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
260,0,55,0,0,0,0,0,0,0,1,1,0,0,0,0,0
261,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
262,98,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0
263,35,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0
264,20,39,0,0,0,0,0,0,0,1,1,0,1,1,0,0
265,35,28,0,0,0,0,0,0,0,1,1,0,1,1,0,0
266,68,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
267,99,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
268,62,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
269,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
270,28,13,0,0,0,0,0,0,0,1,1,0,1,1,0,0
271,12,38,0,0,0,0,0,0,0,1,1,0,1,1,0,0
272,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
273,22,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0
274,62,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
275,88,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0
276,0,6,0,1,0,0,0,0,0,1,1,0,0,0,0,0
277,5,72,0,0,0,0,0,0,0,1,1,0,0,0,0,0
