combo,weight
Kh5h5s3s,100
5c5s4d3s,90
5h5s4d3s,90
6d5c5s3s,92
6d5h5s3s,92
8c7c5s3s,55
8h7h5s3s,55
7c5s3d3s,55
7h5s3d3s,55
KcKd5s3s,100
KdKh5s3s,100
KcKh5s3s,100
Kd5s3s2d,92
Ad5s3s2d,99
8d5s3d3s,100
9d5s3d3s,100
Ad5s3d3s,7
6d5s4d3s,100
Kd5s4d3s,65
Ad5s4d3s,100
Kd6d5s3s,99
Ad6d5s3s,64
Ad8d5s3s,71
Td9d5s3s,2
Kd9d5s3s,80
Ad9d5s3s,71
KdTd5s3s,53
AdTd5s3s,46
KdJd5s3s,70
AdJd5s3s,79
KdQd5s3s,99
AdQd5s3s,44
AdKd5s3s,1
7c7s6s3s,81
7h7s6s3s,81
7s6d6s3s,66
8d8s6s3s,18
6d6s5c3s,25
6d6s5h3s,25
6s5c5h3s,74
Kc6c6s3s,70
Kh6h6s3s,70
7c6d6s3s,79
7h6d6s3s,79
7c7h6s3s,42
8c8d6s3s,68
8d8h6s3s,68
KcKh6s3s,97
Ad6s3d3s,64
6d6s4d3s,62
8d6s4d3s,99
Kd6s4d3s,100
Ad6s4d3s,100
Ad6d6s3s,62
9d8d6s3s,79
Kd8d6s3s,34
Ad8d6s3s,96
Kd9d6s3s,75
Ad9d6s3s,99
KdTd6s3s,53
AdJd6s3s,49
AdQd6s3s,56
AdKd6s3s,77
7h7s3c3s,28
7c7s3h3s,28
7c7s4c3s,70
7h7s4c3s,70
7c7s4h3s,70
7h7s4h3s,70
7s5c3d3s,61
7s5h3d3s,61
7c7s6c3s,87
7h7s6c3s,87
7c7s6h3s,87
7h7s6h3s,87
7s6c6d3s,31
7s6d6h3s,31
8c7c7s3s,72
8h7h7s3s,72
9c7c7s3s,96
9h7h7s3s,96
Kc7c7s3s,83
Kh7h7s3s,83
7c7s3d3s,43
7h7s3d3s,43
7c7s4d3s,39
7h7s4d3s,39
7c7s6d3s,94
7h7s6d3s,94
KcKh7s3s,100
8d7s3d3s,99
9d7s3d3s,100
Td7s3d3s,74
Kd7s3d3s,97
Ad7s3d3s,49
7s6d4d3s,87
Kd7s4d3s,81
Ad7s4d3s,93
Kd7s6d3s,100
Ad7s6d3s,100
Kd9d7s3s,90
Ad9d7s3s,64
KdTd7s3s,100
AdTd7s3s,67
KdJd7s3s,100
AdJd7s3s,64
KdQd7s3s,90
AdQd7s3s,28
AdKd7s3s,91
8d8s6c3s,100
8d8s6h3s,100
8c8s6d3s,98
8h8s6d3s,98
KcKh8s3s,96
8s4d3d3s,2
8s6d4d3s,99
Ad8s4d3s,82
9d8s6d3s,82
Kd8s6d3s,29
Ad8s6d3s,25
Jd8d8s3s,100
Kd9d8s3s,84
AdKd8s3s,83
KcKh9s3s,84
Qd9s3d3s,84
Ad9s4d3s,64
9s8d6d3s,91
Kd9s6d3s,100
Ad9s6d3s,100
Kd9s8d3s,63
Ad9s8d3s,30
AdKd9s3s,79
KdTcTs3s,100
KdThTs3s,100
KcKdTs3s,78
KdKhTs3s,78
KcKhTs3s,60
KdTs4d3s,89
AdTs4d3s,100
Ts8d6d3s,1
AdTs6d3s,37
KdJdTs3s,99
KdJcJs3s,96
KdJhJs3s,96
KdQcJs3s,99
KdQhJs3s,99
KcKdJs3s,100
KdKhJs3s,100
KcKhJs3s,53
KdJs4d3s,100
AdJs4d3s,87
AdJs6d3s,73
KdQs3c3s,75
KdQs3h3s,75
AdQs5c3s,37
AdQs5h3s,37
KcQs4d3s,6
KhQs4d3s,6
KcKhQs3s,67
Qs6d4d3s,64
KdQs4d3s,90
AdQs6d3s,61
As6d4d3s,100
AdKc3s2c,82
AdKh3s2h,82
KcKh3s2c,71
KcKh3s2h,71
AcKd3s2c,92
AhKd3s2h,92
AdKd3s2c,96
AdKd3s2h,96
KdQc3c3s,59
KdQh3h3s,59
Kc4d3c3s,100
Kh4d3h3s,100
Kc6d3c3s,45
Kh6d3h3s,45
AdKc3c3s,74
AdKh3h3s,74
AcKd3c3s,4
