combo,weight
KhQsTc2s,100
KcQsTh2s,100
KhQsTh2s,100
KcQsJc2s,60
KhQsJc2s,60
KcQsJh2s,60
KhQsJh2s,60
KcQsTd2s,100
KhQsTd2s,100
KcQsJd2s,89
KhQsJd2s,89
KcQdQs2s,87
KhQdQs2s,87
AhKcQs2s,100
AcKhQs2s,100
AcKdQs2s,100
AhKdQs2s,100
Qs3d2d2s,95
Qs4d2d2s,95
Qs9d2d2s,88
QsTd2d2s,100
QsJd2d2s,100
QdQs3d2s,64
KdQs3d2s,82
AdQs3d2s,43
QdQs4d2s,6
KdQs4d2s,100
AdQs4d2s,46
QdQs6d2s,100
KdQs6d2s,78
AdQs6d2s,80
Qs9d8d2s,100
QdQs8d2s,100
KdQs8d2s,85
AdQs8d2s,67
QdQs9d2s,58
AdQs9d2s,78
AsKh2c2s,100
AsKc2h2s,100
AsKc3c2s,50
AsKh3c2s,50
AsKc3h2s,50
AsKh3h2s,50
As6c4c2s,23
As6h4c2s,23
As6c4h2s,23
As6h4h2s,23
AsKh4c2s,100
AsKc4h2s,100
As7c5c2s,100
As7h5c2s,100
As7c5h2s,100
As7h5h2s,100
AsKd5c2s,93
AsKd5h2s,93
As5c5h2s,100
AsKh5c2s,100
AsKc5h2s,100
As8c6c2s,47
As8h6h2s,47
AsKc6c2s,100
AsKh6c2s,100
AsKc6h2s,100
AsKh6h2s,100
AsKd6c2s,100
AsKd6h2s,100
AsKc7c2s,100
AsKh7c2s,100
AsKc7h2s,100
AsKh7h2s,100
AsKd7c2s,66
AsKd7h2s,66
AsKc8c2s,100
AsKh8c2s,100
AsKc8h2s,100
AsKh8h2s,100
AsKd8c2s,100
AsKd8h2s,100
AsKc9c2s,100
AsKh9c2s,100
AsKc9h2s,100
AsKh9h2s,100
AsKd9c2s,100
AsKd9h2s,100
AsKdTc2s,100
AsKdTh2s,100
AsKhTc2s,100
AsKcTh2s,100
AsKdJc2s,100
AsKdJh2s,100
AsKhJc2s,100
AsKcJh2s,100
AsKdQc2s,100
AsKdQh2s,100
AsKhQc2s,100
AsKcQh2s,100
AsKc2d2s,100
AsKh2d2s,100
AsKc3d2s,100
AsKh3d2s,100
AsKc4d2s,100
AsKh4d2s,100
AsKc6d2s,100
AsKh6d2s,100
AsKc8d2s,100
AsKh8d2s,100
AsKc9d2s,100
AsKh9d2s,100
AsKcTd2s,100
AsKhTd2s,100
AsKcJd2s,100
AsKhJd2s,100
AsKcQd2s,100
AsKhQd2s,100
AcAdAs2s,85
AdAhAs2s,85
As3d2d2s,100
As4d2d2s,100
As8d2d2s,100
As9d2d2s,100
As4d3d2s,100
As6d3d2s,100
AsJd3d2s,100
As6d4d2s,51
As8d4d2s,100
AsTd4d2s,86
AsJd4d2s,87
As8d6d2s,61
As9d6d2s,100
AsJd6d2s,77
AsKd6d2s,100
As9d8d2s,100
AsTd8d2s,95
AsJd8d2s,98
AsQd8d2s,96
AsKd8d2s,100
AsTd9d2s,75
AsJd9d2s,100
AsQd9d2s,65
AsKd9d2s,84
7c7h2c2s,78
7c7h2h2s,78
Ad3c2d2s,39
Ad3h2d2s,39
AdAh3c2s,86
AcAd3h2s,86
5c5h4c2s,77
5c5h4h2s,77
Ad4c2d2s,33
Ad4h2d2s,33
Ad4c3d2s,18
Ad4h3d2s,18
AdTd4c2s,100
AdTd4h2s,100
AdAh4c2s,97
AcAd4h2s,97
6c5c5h2s,100
6h5c5h2s,100
AcKc5c2s,100
AhKc5c2s,100
AcKh5c2s,100
AhKh5c2s,100
AcKc5h2s,100
AhKc5h2s,100
AcKh5h2s,100
AhKh5h2s,100
Ac5c5h2s,100
Ah5c5h2s,100
Ac7h5c2s,50
Ah7h5c2s,50
Ac7c5h2s,50
Ah7c5h2s,50
Kd5c2d2s,54
Kd5h2d2s,54
5c5h2d2s,95
Ad6d5c2s,70
Ad6d5h2s,70
Ad8d5c2s,84
