combo,weight
Ah7s6h2s,100
8c7c7s2s,100
8h7h7s2s,100
9c7c7s2s,96
9h7h7s2s,96
Ac7c7s2s,100
Ah7h7s2s,100
7c7s2d2s,100
7h7s2d2s,100
Tc8c7s2s,100
Th8h7s2s,100
Kc8c7s2s,16
Kh8h7s2s,16
Ac8c7s2s,100
Ah8h7s2s,100
Tc9c7s2s,100
Th9h7s2s,100
JcTc7s2s,100
JhTh7s2s,100
AcKc7s2s,100
AhKh7s2s,100
KcKh7s2s,100
Kd7s2d2s,3
Ad7s2d2s,100
Ad7s3d2s,100
7s6d4d2s,100
Ad7s4d2s,100
Ad7s6d2s,100
9d8d7s2s,100
Kd8d7s2s,16
Ad8d7s2s,100
Ad9d7s2s,100
KdTd7s2s,100
AdTd7s2s,100
AdJd7s2s,100
AdQd7s2s,100
AdKd7s2s,100
JdJs8s2s,66
AsTc8s2s,100
AsTh8s2s,100
AsTd8s2s,100
8s5c2c2s,100
8s5h2h2s,100
8s7c2c2s,100
8s7h2h2s,100
8c8s2c2s,100
8h8s2c2s,100
8c8s2h2s,100
8h8s2h2s,100
Qc8s2c2s,1
Qh8s2h2s,1
8d8s2c2s,100
8d8s2h2s,100
8s5c4c2s,100
8s5h4h2s,100
8s6c4c2s,100
8s6h4h2s,100
8c8s4c2s,100
8h8s4h2s,100
8c8s5c2s,100
8h8s5h2s,100
9c8s5c2s,100
9h8s5h2s,100
Ac8s5c2s,100
Ah8s5h2s,100
8c8s7c2s,100
8h8s7h2s,100
Tc8s7c2s,100
Th8s7h2s,100
Ac8s7c2s,100
Ah8s7h2s,100
9c8c8s2s,100
9h8h8s2s,100
