combo,weight
6h6s5h2s,100
Ac6s5c2s,100
Ah6s5h2s,100
6s5c2d2s,99
6s5h2d2s,99
6d6s5c2s,100
6d6s5h2s,100
7c6c6s2s,100
7h6h6s2s,100
9c6c6s2s,4
9h6h6s2s,4
Kc6c6s2s,100
Kh6h6s2s,100
Ac6c6s2s,100
Ah6h6s2s,100
6c6s2d2s,98
6h6s2d2s,98
Ac7c6s2s,100
Ah7h6s2s,100
Ac8c6s2s,100
Ah8h6s2s,100
Ac9c6s2s,100
Ah9h6s2s,100
KcTc6s2s,100
KhTh6s2s,100
AcTc6s2s,100
AhTh6s2s,100
KcJc6s2s,17
KhJh6s2s,17
AcJc6s2s,100
AhJh6s2s,100
KcQc6s2s,100
KhQh6s2s,100
AcQc6s2s,100
AhQh6s2s,100
QcQd6s2s,100
QdQh6s2s,100
QcQh6s2s,100
AcAh6s2s,56
JcJs7s2s,99
JhJs7s2s,99
JdJs7s2s,99
QcQs7s2s,100
QhQs7s2s,100
QdQs7s2s,100
7s6c2c2s,99
7s6h2h2s,99
8c7s2c2s,100
8h7s2h2s,100
9c7s2c2s,25
9h7s2h2s,25
Ac7s2c2s,100
Ah7s2h2s,100
Ac7s4c2s,100
Ah7s4h2s,100
Ac7s6c2s,100
Ah7s6h2s,100
Tc8c7s2s,37
Th8h7s2s,37
Ac8c7s2s,100
Ah8h7s2s,100
Tc9c7s2s,99
Th9h7s2s,99
Ac9c7s2s,100
Ah9h7s2s,100
JcTc7s2s,94
JhTh7s2s,94
AcTc7s2s,100
AhTh7s2s,100
AcJc7s2s,100
AhJh7s2s,100
JcJd7s2s,1
JdJh7s2s,1
JcJh7s2s,1
AcQc7s2s,100
AhQh7s2s,100
QcQd7s2s,100
QdQh7s2s,100
QcQh7s2s,100
9c9s8s2s,93
9h9s8s2s,93
9d9s8s2s,30
TcTs8s2s,100
ThTs8s2s,100
TdTs8s2s,100
JcJs8s2s,100
JhJs8s2s,100
JdJs8s2s,100
QcQs8s2s,100
QhQs8s2s,100
QdQs8s2s,100
AsTc8s2s,1
AsTh8s2s,1
AsTd8s2s,1
8s4c2c2s,5
8s4h2h2s,5
8s5c2c2s,100
8s5h2h2s,100
8s7c2c2s,100
8s7h2h2s,100
9c8s2c2s,100
9h8s2h2s,100
Tc8s2c2s,100
Th8s2h2s,100
Jc8s2c2s,53
Jh8s2h2s,53
Qc8s2c2s,2
Qh8s2h2s,2
Kc8s2c2s,100
Kh8s2h2s,100
Ac8s2c2s,100
Ah8s2h2s,100
8d8s2c2s,100
8d8s2h2s,100
8h8s2c2s,100
8c8s2h2s,100
8s5c4c2s,99
8s5h4h2s,99
8c8s4c2s,100
8h8s4h2s,100
Ac8s4c2s,100
Ah8s4h2s,100
8c8s5c2s,75
8h8s5c2s,75
8c8s5h2s,75
8h8s5h2s,75
Ac8s5c2s,100
Ah8s5h2s,100
8d8s5c2s,50
8d8s5h2s,50
Ac8s6c2s,100
Ah8s6h2s,100
8c8s7c2s,100
8h8s7h2s,100
Tc8s7c2s,76
Th8s7h2s,76
Ac8s7c2s,100
Ah8s7h2s,100
9c8c8s2s,53
9h8c8s2s,53
9c8h8s2s,53
9h8h8s2s,53
Tc8c8s2s,100
Th8h8s2s,100
Jc8c8s2s,100
Jh8h8s2s,100
Qc8c8s2s,100
Qh8h8s2s,100
Kc8c8s2s,100
Kh8h8s2s,100
Ac8c8s2s,100
Ah8h8s2s,100
8c8s2d2s,100
8h8s2d2s,100
9d8c8s2s,5
9d8h8s2s,5
Tc9c8s2s,100
Th9h8s2s,100
Jc9c8s2s,100
Jh9h8s2s,100
Qc9c8s2s,100
Qh9h8s2s,100
Ac9c8s2s,100
Ah9h8s2s,100
9c8d8s2s,5
9h8d8s2s,5
9c9d8s2s,12
9d9h8s2s,12
9c9h8s2s,100
JcTc8s2s,100
JhTh8s2s,100
QcTc8s2s,100
QhTh8s2s,100
KcTc8s2s,100
KhTh8s2s,100
AcTc8s2s,100
AhTh8s2s,100
TcTd8s2s,100
TdTh8s2s,100
TcTh8s2s,100
QcJc8s2s,100
QhJh8s2s,100
KcJc8s2s,100
KhJh8s2s,100
AcJc8s2s,100
AhJh8s2s,100
JcJd8s2s,100
JdJh8s2s,100
JcJh8s2s,100
KcQc8s2s,91
KhQh8s2s,91
AcQc8s2s,100
AhQh8s2s,100
QcQd8s2s,100
QdQh8s2s,100
QcQh8s2s,100
QdTd8s2s,82
QdJd8s2s,69
JsTs9s2s,46
Ts9c9s2s,100
Ts9h9s2s,100
TcTs9s2s,100
ThTs9s2s,100
JcTs9s2s,100
JhTs9s2s,100
QcTs9s2s,29
QhTs9s2s,29
Ts9d9s2s,100
TdTs9s2s,100
JdTs9s2s,100
QdTs9s2s,29
Js9c9s2s,97
Js9h9s2s,97
JsTc9s2s,100
JsTh9s2s,100
JcJs9s2s,100
JhJs9s2s,100
Js9d9s2s,97
JsTd9s2s,100
JdJs9s2s,100
QsTc9s2s,100
